District_Name,SCHOOL,Gender,2011,2012,2013,2014,2015
JINJA,BUWENGE PROGRESSIVE SECONDARY SCHOOL,FEMALE,7,5,,,
JINJA,,MALE,19,6,,,
JINJA,"EAST SECONDARY SCHOOL,BUYALA JINJA",FEMALE,7,5,16,8,5
JINJA,,MALE,4,17,20,14,11
JINJA,"GATEWAY HIGH SCHOOL,MUGULUKA",FEMALE,40,21,12,25,44
JINJA,,MALE,79,28,42,46,34
JINJA,GLORYLAND CHRISTIAN COLLEGE,FEMALE,,,24,15,8
JINJA,,MALE,,,60,49,28
JINJA,"GOODHEART SECONDARY SCHOOL,JINJA",FEMALE,32,35,60,48,29
JINJA,,MALE,54,53,98,54,64
JINJA,"HOLY CROSS LAKE VIEW SS,JINJA",FEMALE,22,41,82,29,26
JINJA,,MALE,27,37,66,36,20
JINJA,"HOPE COMMUNITY HIGH SCHOOL,JINJA",FEMALE,,,20,16,8
JINJA,,MALE,,,42,37,24
JINJA,JINJA COLLEGE,MALE,86,85,128,58,99
JINJA,JINJA HALL,FEMALE,23,63,98,6,6
JINJA,,MALE,58,87,124,23,22
JINJA,JINJA MODERN SECONDARY SCHOOL,FEMALE,7,24,32,12,8
JINJA,,MALE,14,47,28,26,21
JINJA,JINJA PARENTS COLLEGE(JIPA),FEMALE,16,10,,,
JINJA,,MALE,33,20,,,
JINJA,"JINJA PARENTS' SCHOOL,KAGOMA",FEMALE,,6,12,7,
JINJA,,MALE,,14,40,9,
JINJA,JINJA PROGRESSIVE SECONDARY SCHOOL,FEMALE,171,188,450,181,140
JINJA,,MALE,227,296,548,210,168
JINJA,JINJA PROGRESSIVE SECONDARY SCHOOL ANNEX,FEMALE,,,76,50,68
JINJA,,MALE,,,158,90,81
JINJA,JINJA SECONDARY SCHOOL,FEMALE,163,141,344,202,155
JINJA,,MALE,336,358,654,297,262
JINJA,JINJA SECONDARY SCHOOL ANNEX,FEMALE,101,145,326,123,100
JINJA,,MALE,183,265,472,239,183
JINJA,KAKIRA HIGH SCHOOL,FEMALE,26,35,42,34,32
JINJA,,MALE,39,65,122,52,46
JINJA,KAKIRA SECONDARY SCHOOL,FEMALE,24,18,72,35,25
JINJA,,MALE,36,45,112,59,51
JINJA,"KIIRA COLLEGE,BUTIKI",MALE,122,152,276,164,139
JINJA,"KIIRA HIGH SCHOOL,JINJA",FEMALE,28,27,32,3,
JINJA,,MALE,21,31,54,8,
JINJA,"KIIRA VIEW SECONDARY SCHOOL,BUWENGE",FEMALE,,4,10,3,2
JINJA,,MALE,,16,22,7,9
JINJA,LUBANI SECONDARY SCHOOL,FEMALE,23,16,60,15,9
JINJA,,MALE,41,52,154,33,17
JINJA,LWANDA HIGH SCHOOL,FEMALE,,19,46,28,7
JINJA,,MALE,,31,72,47,16
JINJA,"M.M COLLEGE,WAIRAKA",FEMALE,66,42,60,44,27
JINJA,,MALE,98,81,120,69,37
JINJA,"MASESE GIRLS BOARDING SS,JINJA",FEMALE,10,26,46,19,21
JINJA,"MOTHER KEVIN SECONDARY SCHOOL,JINJA",FEMALE,26,17,34,13,14
JINJA,,MALE,34,31,42,14,20
JINJA,"MT.ST.JOHN'S COLLEGE,KAGOMA",FEMALE,13,19,38,11,10
JINJA,,MALE,22,25,42,9,21
JINJA,NAKANYONYI GIRLS SCHOOL,FEMALE,84,60,46,15,19
JINJA,"P.M.M GIRLS' SCHOOL,JINJA",FEMALE,75,86,198,69,56
JINJA,,MALE,1,,,,
JINJA,"PILKINGTON COLLEGE,MUGULUKA",FEMALE,6,9,20,20,14
JINJA,,MALE,16,28,50,50,55
JINJA,"SIMPSON HIGH SCHOOL,JINJA",FEMALE,21,,,,
JINJA,,MALE,48,,,,
JINJA,"ST.GONZAGA SECONDARY SCHOOL,KAGOMA",FEMALE,16,19,10,1,3
JINJA,,MALE,29,34,38,11,19
JINJA,"ST.JAMES SECONDARY SCHOOL,JINJA",FEMALE,33,42,94,63,40
JINJA,,MALE,44,87,130,77,71
JINJA,"ST.JOHN'S SECONDARY SCHOOL,WAKITAKA",FEMALE,19,19,52,35,29
JINJA,,MALE,33,33,128,63,49
JINJA,"ST.MARY'S COLLEGE,BUWENGE",FEMALE,,13,30,27,19
JINJA,,MALE,,27,86,62,62
JINJA,"ST.MONICA SEC. SCHOOL,JINJA",FEMALE,,,,13,
JINJA,,MALE,,,,24,7
JINJA,"ST.PETER'S COLLEGE,BUWEERA",FEMALE,28,30,30,14,25
JINJA,,MALE,49,47,72,29,28
JINJA,"ST.PETER'S HIGH SCHOOL,JINJA",FEMALE,29,39,100,50,41
JINJA,,MALE,55,84,196,76,72
JINJA,"ST.STEPHEN SECONDARY SCHOOL,BUDONDO",FEMALE,12,16,36,17,15
JINJA,,MALE,23,34,78,37,27
JINJA,THE NILE COLLEGE SCHOOL,FEMALE,27,11,,6,
JINJA,,MALE,26,9,,7,
JINJA,WANYANGE GIRLS SCHOOL,FEMALE,139,145,152,87,85
GULU,"ALLIANCE HIGH SCHOOL,GULU",FEMALE,23,20,28,9,12
GULU,,MALE,27,35,66,26,38
GULU,AWERE SECONDARY SCHOOL,FEMALE,15,2,12,1,3
GULU,,MALE,33,24,38,19,6
GULU,"BISHOP ANGELO NEGRI COLLEGE,GULU",MALE,58,35,70,40,29
GULU,"GRACELAND GIRLS' SECONDARY SCHOOL,GULU",FEMALE,16,16,58,20,22
GULU,GULU ARMY SECONDARY SCHOOL,FEMALE,1,2,12,6,2
GULU,,MALE,15,21,42,22,9
GULU,GULU CENTRAL HIGH SCHOOL,FEMALE,94,88,170,55,37
GULU,,MALE,176,171,276,88,71
GULU,GULU COLLEGE,FEMALE,29,6,40,8,17
GULU,,MALE,73,34,92,25,54
GULU,GULU HALL,FEMALE,37,42,68,29,30
GULU,,MALE,93,100,186,31,34
GULU,GULU HIGH SCHOOL,FEMALE,16,12,42,9,8
GULU,,MALE,36,28,74,36,33
GULU,GULU SECONDARY SCHOOL,FEMALE,11,16,28,21,12
GULU,,MALE,21,41,86,48,50
GULU,"KORO SECONDARY SCHOOL,GULU",FEMALE,,,,4,3
GULU,,MALE,,,,9,10
GULU,"POPE JOHN PAUL II COLLEGE,GULU",FEMALE,58,52,94,71,54
GULU,,MALE,67,124,168,85,87
GULU,"SACRED HEART SECONDARY SCHOOL,GULU",FEMALE,60,68,114,64,52
GULU,SIR SAMUEL BAKER SCHOOL,MALE,95,136,290,80,67
GULU,"ST.JOSEPH'S COLLEGE,LAYIBI",MALE,135,143,202,109,126
GULU,"ST.MARY'S COLLEGE,LACOR",FEMALE,,,38,7,5
GULU,,MALE,,,82,42,28
GULU,"TRINITY COLLEGE,GULU",FEMALE,23,11,10,8,2
GULU,,MALE,51,45,58,22,20
MARACHA,MARACHA HALL,FEMALE,5,,,,
MARACHA,,MALE,17,,,,
MARACHA,MARACHA SECONDARY SCHOOL,FEMALE,30,15,26,15,22
MARACHA,,MALE,124,122,158,100,97
MARACHA,OTRAVU SECONDARY SCHOOL,FEMALE,9,12,14,6,1
MARACHA,,MALE,33,40,68,18,24
MARACHA,YIVU SECONDARY SCHOOL,FEMALE,2,4,2,,
MARACHA,,MALE,13,19,44,12,
BUYENDE,BALIGEYA MEMORIAL SEED SECONDARY SCHOOL,FEMALE,,,2,1,
BUYENDE,,MALE,,,18,10,12
BUYENDE,BUDIOPE SECONDARY SCHOOL,FEMALE,,6,4,,1
BUYENDE,,MALE,,18,62,16,10
BUYENDE,"GWASE PREMIER COLLEGE,BUGAYA",FEMALE,,,8,1,3
BUYENDE,,MALE,,,32,25,10
BUYENDE,KIDERA SECONDARY SCHOOL,FEMALE,6,8,30,2,4
BUYENDE,,MALE,26,32,76,35,16
BUYENDE,LUNAR INTERNATIONAL COLLEGE,FEMALE,25,16,36,2,11
BUYENDE,,MALE,43,63,134,7,73
KYEGEGWA,HAPUUYO SEED SECONDARY SCHOOL,FEMALE,,,6,3,2
KYEGEGWA,,MALE,,,22,14,15
KYEGEGWA,HUMURA SECONDARY SCHOOL,FEMALE,17,16,48,4,7
KYEGEGWA,,MALE,48,44,88,41,33
KYEGEGWA,KAKABARA SECONDARY SCHOOL,FEMALE,,,6,4,3
KYEGEGWA,,MALE,,,16,18,14
KYEGEGWA,KASULE SECONDARY SCHOOL,FEMALE,,,6,,2
KYEGEGWA,,MALE,,,28,,8
KYEGEGWA,"KING SOLOMON'S COLLEGE,KYATEGA",FEMALE,17,18,30,13,18
KYEGEGWA,,MALE,36,30,74,28,58
